4817,2939,3508,3510,1069,4814,3241
2850,3170,3007,1599,2303,3733,1658
3418,3907,3270,3067,3129,3324,3611
4153,1563,4719,3510,1505,2608,1398
4181,3212,3159,3132,1345,5000,2551
1374,4259,3109,2709,4360,2270,4918
1727,1271,1026,4456,684,1330,764
4101,3798,2931,2322,2692,2130,4727
3662,1341,4371,3219,3131,2563,528
1571,3959,2959,2749,1213,3321,1221
2709,2918,3554,4949,3351,1658,4176
2100,2399,3458,3089,1909,1922,4124
4135,1240,2959,1837,3667,3495,4044
1907,1752,1616,4884,3457,3145,2114
3067,4292,4342,3554,4303,3461,2804
