4985,1542,4130,456,4344,1134,1018
115,3263,4487,4809,632,4075,4007
1237,3043,2234,1341,432,3360,4188
4821,1783,1415,2665,4040,2569,2194
676,2647,4267,3461,4571,1353,3021
4487,4768,1019,2308,4444,2752,284
2571,3670,3217,4231,4778,1990,388
282,2261,2428,3307,4887,3350,453
4803,1486,1997,2419,2611,1446,4196
1325,1166,3305,4308,2974,661,4715
323,1957,2596,4648,2365,2896,1729
1236,3666,1417,3124,3689,997,570
1492,3018,1420,3408,3798,801,1711
1602,4277,3854,2642,2946,4605,3203
520,1584,4192,4642,4100,3378,4492
