3387,1749,4684,3630,3406,268,4855
4380,1760,3128,2872,2516,1484,2161
1726,1800,4347,3811,2732,237,1568
1036,3087,884,634,1602,2114,2977
1257,756,2767,233,3289,3790,1221
2864,4176,1761,2094,2741,3498,4663
3661,2189,288,4114,1015,755,4255
2771,4556,759,350,3791,4332,3685
2222,2691,695,1516,4812,3554,2992
387,2141,4795,144,768,1191,2374
2224,463,4832,2086,4995,2878,1592
1198,2694,4095,3334,736,1628,4981
4261,303,541,3716,2983,1925,214
726,3024,4502,3512,4150,4655,2607
3233,2945,4805,3080,3329,494,265
