1872,2265,4395,3254,2915,1939,2718
4424,3645,4561,3002,3263,2424,1892
531,4549,858,4721,4935,1585,4170
3055,2539,1604,2401,2086,1900,908
2432,3151,3705,4474,4071,4198,3993
1715,4207,3926,816,2587,4043,1195
1830,3857,4646,4655,2270,1463,3363
551,3275,1111,4287,1476,2212,4069
4547,794,1758,3950,4730,3696,3569
4752,2827,3401,2934,1433,600,3523
4887,2656,4907,1691,4581,4996,1175
1694,2999,4859,1957,4134,2815,2689
1633,3882,2159,3822,4245,575,3956
2918,2254,4812,2074,2989,4575,968
2332,4503,641,1617,1546,3439,3848
