3156,1647,3919,1073,766,4495,2025
1506,2706,3332,1881,1348,4813,3581
892,3828,1890,3763,2876,4158,2856
2462,4229,2381,1308,4361,2662,1823
1076,2810,1609,2250,986,2852,3774
1536,695,1883,2624,810,4708,1168
4204,1049,1776,1137,4928,2368,3972
913,4519,3592,3570,1036,2026,1240
1627,3056,2434,743,1694,3873,3928
2594,2073,3193,4881,3834,2221,543
3597,4896,3443,3572,4210,3213,1356
2375,4786,3502,1351,4851,2603,1667
4657,1881,1333,2829,707,4637,1711
4102,796,4773,4412,998,3754,608
3346,910,3591,639,2397,2026,1031
